Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CNNLSTM;31;AdjustHair;20 min;200;100;120;31-10-2020;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;;;;;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;;;;;;;;;;;;;;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;470;448;22;95.31914894;0.953644254;21.7872004;;;;;;;470;453;17;96.38297872;0.963599878;17.10805745;;;;;;;470;457;13;97.23404255;0.970474174;13.8771384;;;;;;;448;428;20;95.53571429;0.941024926;26.42083337;;;;;448;376;72;83.92857143;0.768249243;103.8243393;;;;;470;470;0;100;0.997713819;1.074504852;;;;;;;470;0;470;0;9.51E-07;469.9995532;;;;;;;470;463;7;98.5106383;0.983551586;7.730754487;;;;;;;;;;;;;;;;;;;470;409;61;87.0212766;0.881634558;55.63175796;;;;;;;485;475;10;97.93814433;0.977410567;10.95587495;;;;;;;;;;;;;;;;;;;;;;;;;;;;530;210;320;39.62264151;0.390621662;322.970519;;;;;;;;;;;;;;;;;;;;;;
;TOTAL;MODEL;PERFORMANCE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;AVG;Precision;For;Other;Labels;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;;;;;;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;;;;;;;;;;;;;;
#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;AdjustHair;BrushingHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;AdjustHair;BrushingHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;AdjustHair;BrushingHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;FastWalk;Idle;JumpingJacks;SittingArmsDown;SittingCrossedArms;SlowWalk;;;;;FastWalk;Idle;JumpingJacks;SittingArmsDown;SittingCrossedArms;SlowWalk;;;;;AdjustHair;BrushingHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;AdjustHair;BrushingHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;AdjustHair;BrushingHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;;;;;;;;;;;;;AdjustHair;BrushHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;AdjustHair;AdjustingCloth;BeingApathetic;BeingSad;BrushHair;Clapping;DanceSeqB;DanceSeqC;DanceSeqE;DressUndress;Drinking;FastWalk;Idle;JumpingJacks;LieDownGetUpSitting;LieDownGetUpStanding;LotionOnArms;LotionOnFace;LyingIdle;OpenHeartWalking;RollingOnFloor;RunningFingersHead;SitDownGetUp;SittingArmsDown;SittingCrossedArms;SlowWalk;Streatch;StrockingChinOther;TurningSlowly;WalkingBackwards;;;;AdjustHair;AdjustingCloth;BeingApathetic;BeingSad;BrushHair;Clapping;DanceSeqB;DanceSeqC;DanceSeqE;DressUndress;Drinking;FastWalk;Idle;JumpingJacks;LotionOnArms;LotionOnFace;LyingIdle;OpenHeartWalking;RollingOnFloor;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;Streatch;StrockingChinOther;TurningSlowly;WalkingBackwards;
450.7096774;383.7741935;66.93548387;84.58808537;0.843965684;67.74013921;;;;;;;0.000222018;5.06E-05;7.16E-06;4.81E-06;1.01E-07;0.045868965;0.000174316;2.12E-05;6.65E-06;;;;0.001067471;8.53E-06;4.92E-06;7.08E-05;7.56E-06;0.035038678;7.75E-05;0.000116943;7.69E-06;;;;7.18E-05;0.000272025;3.21E-07;4.66E-05;2.51E-06;0.028678783;0.000290404;1.74E-06;0.000161632;;;;0.003557047;0.000303803;2.22E-05;6.53E-05;3.67E-05;0.054990007;;;;;0.103201923;0.000253402;7.07E-06;1.65E-06;0.001541725;0.12674499;;;;;9.89E-05;4.57E-08;7.72E-07;1.07E-06;5.43E-07;0.002179983;1.43E-06;3.42E-06;1.96E-09;;;;0.026398303;0.009621552;0.963940209;1.53E-07;9.16E-07;2.63E-05;8.68E-06;2.62E-06;3.27E-07;;;;0.013936624;4.98E-05;3.64E-06;1.85E-05;1.39E-05;0.002378751;4.69E-05;1.67E-07;1.23E-07;;;;;;;;;;;;;;;;0.066054769;3.62E-05;1.05E-07;1.01E-06;0.000373819;0.051883093;1.44E-05;3.74E-08;2.00E-06;;;;3.39E-06;9.16E-09;2.35E-07;1.17E-05;6.10E-09;3.85E-10;7.13E-09;2.26E-10;8.89E-08;6.79E-11;6.51E-05;1.97E-06;6.03E-11;1.21E-08;0.022220768;1.68E-05;2.91E-11;9.59E-07;1.80E-05;4.08E-10;2.87E-08;3.61E-06;4.40E-05;4.00E-05;6.28E-09;5.24E-11;1.41E-05;0.000148589;6.62E-10;1.54E-09;;;;0.002041041;7.61E-05;0.000121219;0.000688995;0.000228461;4.47E-08;3.31E-07;8.02E-06;8.29E-07;1.36E-06;0.137110909;0.000839763;1.60E-06;1.08E-06;1.58E-05;0.193814301;3.54E-07;1.76E-06;2.67E-07;0.002264749;0.265925478;0.0002491;1.48E-05;1.14E-05;0.005956379;1.27E-06;3.07E-06;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CNNLSTM;28;AdjustHair;20 min;200;100;30;31-10-2020;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;;TOTAL;MODEL;PERFORMANCE;;;;;;;;TOTAL;MODEL;PERFORMANCE;;;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;;;;;;;;;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;;;;;;;;;;;;;;;;;;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;CNNLSTM;10;SittingCrossedArms;30 min;100;100;120;30-10-2020;;;;;CNNLSTM;10;SittingCrossedArms;30 min;100;100;60;31-10-2020;;;;;CNNLSTM;10;SittingCrossedArms;30 min;100;100;30;31-10-2020;;;;;;;;;;;;;;;;;;;;;;;;;CNNLSTM;10;SittingCrossedArms;10 min;100;100;120;31-10-2020;;;;;CNNLSTM;10;SittingCrossedArms;10 min;100;100;30;31-10-2020;;;;;CNNLSTM;10;SittingCrossedArms;20 min;100;100;120;31-10-2020;;;;;;;;;;;;;;;;;CNNLSTM;10;SittingCrossedArms;30 min;100;400;120;31-10-2020;;;;;CNNLSTM;31;DanceSeqB;20 min;200;400;120;31-10-2020;;;;;;;;;;;;;;;;;;;;;;;;;;CNNLSTM;31;DanceSeqB;20 min;200;400;30;31-10-2020;;;;;;;;;;;;;;;;;;;;
;TOTAL;MODEL;PERFORMANCE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;451;411.8571429;39.14285714;91.47555755;0.90418145;43.77282319;;;;;451;371.7142857;79.28571429;82.73015901;0.802089066;90.60237842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;STATS;FOR;SittingCrossedArms;;;;;;;;;;STATS;FOR;SittingCrossedArms;;;;;;;;;;STATS;FOR;SittingCrossedArms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;STATS;FOR;SittingCrossedArms;;;;;;;;;;STATS;FOR;SittingCrossedArms;;;;;;;;;;STATS;FOR;SittingCrossedArms;;;;;;;;;;;;;;;;;;;;;;STATS;FOR;SittingCrossedArms;;;;;;;;;;STATS;FOR;DanceSeqB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;STATS;FOR;DanceSeqB;;;;;;;;;;;;;;;;;;;;;;;
498.3214286;407.6785714;90.64285714;81.5269581;0.800366725;97.67405144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;;;;;;;;;;;;;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;;;;;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;;;;;;;;;;;;;;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;461;442;19;95.87852495;0.958685244;19.04610248;;;;;;;461;404;57;87.63557484;0.86096254;64.09626919;;;;;;;461;376;85;81.56182213;0.826769779;79.85913199;;;;;;;;;;;;;;;;;;;;;;;;;;;461;296;165;64.20824295;0.641106021;165.4501243;;;;;;;461;0;461;0;0.00071164;460.6719337;;;;;;;461;353;108;76.57266811;0.761328931;110.0273628;;;;;;;;;;;;;;;;;;;461;438;23;95.01084599;0.944514776;25.57868845;;;;;;;395;214;181;54.17721519;0.575946235;167.5012373;;;;;;;;;;;;;;;;;;;;;;;;;;;;440;392;48;89.09090909;0.880020455;52.79099963;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;;;;;;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;AdjustHair;BrushingHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SlowWalk;WalkingBackwards;;;;AdjustHair;BrushingHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SlowWalk;WalkingBackwards;;;;AdjustHair;BrushingHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SlowWalk;WalkingBackwards;;;;;;;;;;;;;;;;;;;;;;;;AdjustHair;BrushingHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SlowWalk;WalkingBackwards;;;;AdjustHair;BrushingHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SlowWalk;WalkingBackwards;;;;AdjustHair;BrushingHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SlowWalk;WalkingBackwards;;;;;;;;;;;;;;;;AdjustHair;BrushHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SlowWalk;WalkingBackwards;;;;AdjustHair;AdjustingCloth;BeingApathetic;BeingSad;BrushHair;Clapping;DanceSeqA;DanceSeqC;DanceSeqE;DressUndress;Drinking;FastWalk;Idle;JumpingJacks;LieDownGetUpSitting;LieDownGetUpStanding;LotionOnArms;LotionOnFace;LyingIdle;OpenHeartWalking;RollingOnFloor;RunningFingersHead;SitDownGetUp;SittingArmsDown;SittingCrossedArms;SlowWalk;Streatch;StrockingChinOther;TurningSlowly;WalkingBackwards;;;;AdjustHair;AdjustingCloth;BeingApathetic;BeingSad;BrushHair;Clapping;DanceSeqA;DanceSeqC;DanceSeqE;DressUndress;Drinking;FastWalk;Idle;JumpingJacks;LotionOnArms;LotionOnFace;LyingIdle;OpenHeartWalking;RollingOnFloor;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;Streatch;StrockingChinOther;TurningSlowly;WalkingBackwards;
;;;;;;;;;;;;2.49E-06;1.79E-05;0.000618626;5.34E-10;2.55E-09;5.18E-05;0.040623882;4.78E-08;2.75E-08;;;;0.006835866;0.098959717;0.000267547;7.76E-05;4.32E-05;0.009872423;0.022585772;0.000393594;1.75E-06;;;;0.003498492;4.05E-05;0.155791773;6.06E-07;9.04E-07;0.000280398;0.013616465;9.81E-07;6.71E-08;;;;;;;;;;;;;;;;;;;;;;;;0.228683088;1.59E-05;0.000297872;0.000419737;1.22E-06;0.080615047;0.048604512;0.000256457;1.29E-07;;;;0.027014879;0.079904687;0.892221225;4.97E-07;1.03E-05;9.30E-05;4.62E-06;3.57E-05;3.37E-06;;;;0.000466224;0.202686979;3.25E-07;0.000455766;2.61E-05;6.25E-05;0.034933455;3.23E-05;7.52E-06;;;;;;;;;;;;;;;;0.000491843;0.006085409;1.15E-05;3.90E-05;6.61E-06;0.001651556;0.047198407;7.71E-07;8.70E-08;;;;2.97E-09;0.000101823;3.08E-06;3.06E-08;1.07E-06;2.73E-07;4.38E-07;0.000356719;7.78E-06;0.271562889;2.55E-07;3.49E-05;0.000191914;8.03E-06;0.000718743;0.110726405;0.000217739;1.82E-07;1.12E-05;1.65E-06;8.53E-06;5.31E-08;0.00076936;4.42E-05;9.91E-07;0.011832751;7.25E-06;7.76E-09;0.027223065;0.000222502;;;;2.76E-08;0.001132112;9.20E-06;1.11E-06;2.82E-07;0.000126026;1.55E-05;7.01E-05;0.000207263;0.081348682;1.46E-06;2.33E-05;4.45E-05;5.78E-05;7.37E-06;4.98E-08;1.64E-05;4.90E-05;0.000180395;8.74E-08;4.74E-08;1.03E-07;0.002866893;0.000365179;3.73E-07;0.032554981;0.000901371;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;;;;;;;;;;;;;;;;;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;;;;;;;;;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;;;;;;;;;;;;;;;;;;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;CNNLSTM;10;SlowWalk;30 min;100;100;120;30-10-2020;;;;;CNNLSTM;10;SlowWalk;30 min;100;100;60;31-10-2020;;;;;CNNLSTM;10;SlowWalk;30 min;100;100;30;31-10-2020;;;;;;;;;;;;;;;;;;;;;;;;;CNNLSTM;10;SlowWalk;10 min;100;100;120;31-10-2020;;;;;CNNLSTM;10;SlowWalk;10 min;100;100;30;31-10-2020;;;;;CNNLSTM;10;SlowWalk;20 min;100;100;120;31-10-2020;;;;;;;;;;;;;;;;;CNNLSTM;10;SlowWalk;30 min;100;400;120;31-10-2020;;;;;CNNLSTM;31;DanceSeqC;20 min;200;400;120;31-10-2020;;;;;;;;;;;;;;;;;;;;;;;;;;CNNLSTM;31;DanceSeqC;20 min;200;400;30;31-10-2020;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;STATS;FOR;SlowWalk;;;;;;;;;;STATS;FOR;SlowWalk;;;;;;;;;;STATS;FOR;SlowWalk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;STATS;FOR;SlowWalk;;;;;;;;;;STATS;FOR;SlowWalk;;;;;;;;;;STATS;FOR;SlowWalk;;;;;;;;;;;;;;;;;;;;;;STATS;FOR;SlowWalk;;;;;;;;;;STATS;FOR;DanceSeqC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;STATS;FOR;DanceSeqC;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;;;;;;;;;;;;;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;;;;;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;;;;;;;;;;;;;;;;;;;;#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;453;389;64;85.87196468;0.861765698;62.62013866;;;;;;;453;440;13;97.13024283;0.951863372;21.80589265;;;;;;;453;301;152;66.44591611;0.64547701;160.5989145;;;;;;;;;;;;;;;;;;;;;;;;;;;453;366;87;80.79470199;0.801591499;89.8790509;;;;;;;453;0;453;0;1.72E-05;452.9921969;;;;;;;453;342;111;75.49668874;0.740625829;117.4964995;;;;;;;;;;;;;;;;;;;453;402;51;88.74172185;0.895469662;47.35224323;;;;;;;1108;1104;4;99.63898917;0.995643654;4.826831624;;;;;;;;;;;;;;;;;;;;;;;;;;;;1153;1068;85;92.62792715;0.92210098;89.8175701;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;;;;;;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AVG;Precision;For;Other;Labels;;;;;;;;;;;;;;;;;;;;;
