Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;BrushingHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;BrushingHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;BrushingHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;Idle;JumpingJacks;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;;Idle;JumpingJacks;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;;BrushingHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;BrushingHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;BrushingHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;AdjustHair;BrushingHair;FastWalk;Idle;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;BrushHair;FastWalk;Idle;JumpingJacks;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;WalkingBackwards;;;;AdjustingCloth;BeingApathetic;BeingSad;BrushHair;Clapping;DanceSeqA;DanceSeqB;DanceSeqC;DanceSeqE;DressUndress;Drinking;FastWalk;Idle;JumpingJacks;LieDownGetUpSitting;LieDownGetUpStanding;LotionOnArms;LotionOnFace;LyingIdle;OpenHeartWalking;RollingOnFloor;RunningFingersHead;SitDownGetUp;SittingArmsDown;SittingCrossedArms;SlowWalk;Streatch;StrockingChinOther;TurningSlowly;WalkingBackwards;;;;AdjustingCloth;BeingApathetic;BeingSad;BrushHair;Clapping;DanceSeqA;DanceSeqB;DanceSeqC;DanceSeqE;DressUndress;Drinking;FastWalk;Idle;JumpingJacks;LotionOnArms;LotionOnFace;LyingIdle;OpenHeartWalking;RollingOnFloor;RunningFingersHead;SittingArmsDown;SittingCrossedArms;SlowWalk;Streatch;StrockingChinOther;TurningSlowly;WalkingBackwards;
CNNLSTM;10;AdjustHair;30 min;100;100;60;31-10-2020;;;;;0.350313612;1.35E-05;0.000711965;0.000162586;0.568840205;0.000727711;0.001161959;0.000144795;7.84E-05;;;;0.1091495;0.0001799;0.001419437;0.000192835;0.582011415;0.008249791;0.000785686;0.000100192;1.96E-05;;;;0.166705703;7.21E-06;4.30E-05;0.000409665;0.425370175;0.001066719;0.005874309;7.40E-06;3.89E-05;;;;3.25E-05;0.000403495;1.44E-05;6.57E-05;0.024684685;0.000247221;;;;;1.80E-08;2.51E-07;7.87E-05;0.003579084;0.003393646;0.021923254;;;;;1.65E-05;0.000604693;2.91E-08;1.12E-06;0.016317173;0.000544799;3.66E-05;1.88E-06;1.94E-09;;;;0.543625599;0.326767024;5.76E-08;1.01E-06;2.48E-05;6.85E-07;1.97E-05;9.64E-07;1.93E-07;;;;0.000445469;9.92E-06;0.000116909;0.000100428;0.212669558;0.020498405;8.84E-05;2.01E-07;5.41E-07;;;;1.81E-07;3.55E-07;2.07E-06;0.003202015;3.63E-06;0.000133093;3.09E-07;0.020554201;0.040217767;;;;0.001847883;1.66E-07;1.96E-07;2.25E-07;0.00039233;0.000102168;8.51E-07;2.23E-08;1.05E-09;;;;4.14E-09;1.29E-08;1.47E-05;0.00021404;3.34E-08;3.60E-10;1.42E-12;1.65E-11;9.40E-09;4.64E-11;5.31E-05;4.01E-11;1.02E-08;8.75E-10;4.09E-10;7.35E-10;9.29E-13;7.81E-06;1.86E-10;4.76E-05;5.80E-10;9.25E-07;1.17E-08;1.24E-09;6.31E-10;9.47E-11;5.77E-08;0.000458005;2.40E-11;4.89E-09;;;;6.20E-07;1.67E-05;0.001797351;0.000525565;2.67E-05;5.08E-06;1.92E-08;1.32E-07;0.000142853;4.59E-07;0.0882797;1.28E-06;3.26E-07;1.11E-06;9.20E-07;0.000301012;3.20E-05;1.64E-05;3.52E-07;0.000755278;6.08E-06;2.51E-05;8.38E-09;5.67E-08;0.010564909;1.23E-07;8.52E-07;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TOTAL;MODEL;PERFORMANCE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Predictions;#Right Predictions;#Wrong Predictions;Accuracy;AVG Precision;Loss;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
459;371.1;87.9;80.55063686;0.79572216;92.39019407;;;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;;;;;;;;;;;;;;;;;;;;;;Model Type;#Labels;Label;Label test video length;#Batch size;Epoch;Frames pr clip;Date;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;CNNLSTM;10;BrushingHair;30 min;100;100;120;30-10-2020;;;;;CNNLSTM;10;BrushingHair;30 min;100;100;60;31-10-2020;;;;;CNNLSTM;10;BrushingHair;30 min;100;100;30;31-10-2020;;;;;CNNLSTM;7;Idle;30 min;100;100;120;31-10-2020;;;CNN;7;Idle;30 min;100;100;120;31-10-2020;;;CNNLSTM;10;BrushingHair;10 min;100;100;120;31-10-2020;;;;;CNNLSTM;10;BrushingHair;10 min;100;100;30;31-10-2020;;;;;CNNLSTM;10;BrushingHair;20 min;100;100;120;31-10-2020;;;;;CNNLSTM;10;RunningFingersHead;30 min;0.0004;100;120;31-10-2020;;;;;CNNLSTM;10;BrushHair;30 min;100;400;120;31-10-2020;;;;;CNNLSTM;31;AdjustingCloth;20 min;200;400;120;31-10-2020;;;;;;;;;;;;;;;;;;;;;;;;;;CNNLSTM;31;AdjustingCloth;20 min;200;400;30;31-10-2020;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
